recall_number,classification,reason_for_recall,product_description,report_date
D-0333-2018,Class II,"Marketed Without An Approved NDA/ANDA: Flawless Beauty, LLC is voluntarily recalling all lots of different products sold individually or as part of multi-unit kits in accordance with Consent Decree of Permanent Injunction ordered by the United States District Court due to misbranding and unapproved new drugs pursuant to the FD&C Act.",Ling Zhi capsules,20180214
D-0508-2023,Class II,CGMP Deviations: Repackaging firm recalling due to potential product cross contamination concerns at the manufacturer.,"Alprazolam C-IV, 1 mg, packaged in a) 30 Tabs per bottle, NDC 72189-213-30; b) 60 Tabs per bottle, NDC 72189-213-60; Rx only, Packaged and Distributed By: Direct Rx Dawsonville, GA 30534.",20230412
D-1253-2020,Class II,CGMP Deviations: potential N-Nitrosodimethylamine (NDMA) amounts above levels established by the FDA.,"Nizatidine Oral Solution, 15 mg/mL (75 mg/5mL) USP 480 mL bottles, Rx Only Distributed by: Gemini Laboratories, LLC Bridgewater, NJ 08807 NDC 60846-301-15",20200506
D-844-2013,Class II,Defective container: products are packaged in pouches which may not have been fully sealed,"Excedrin Migraine (Acetaminophen 250 mg, Aspirin (NSAID) 250 mg and Caffeine 65 mg), a) 2-count tablets packaged in pouches, Distributed by Novartis Consumer Health, Inc., Parsippany, NJ, NDC 0067 203 702     Foreign packaging: b) Excedrin Migrana (Acetaminophen 250 mg, Aspirin 250 mg and 65 mg Caffeine) 2-ct pouches.  The foreign packaging do not have NDC numbers",20130814
D-707-2015,Class II,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,"Homatropine Methylbromide active pharmaceutical ingredient packaged in varying grams or kg in bags or drums, Attix Pharmaceuticals, 184 Front Street East, Unit 801, Toronto, Ontario M5A 4N3, Canada",20150429
D-1572-2020,Class I,Marketed without an Approved NDA/ANDA; product labeled to contain 0.56% methanol making it an unapproved new drug,"SkinGuard 24 All-Day Hand Sanitizer 8 oz. bottle with foam pump, Dist by: SG24 LLC, Bolingbroke, GA 31004  UPC 793573147125",20200909
D-1325-2019,Class II,Lack of Sterility Assurance.,"Human Chorionic Gonadotropin 5,000 IU vials, Rx only, Pharm D. Solutions 1304 South Loop West, Houston, TX 77054, 1-844-263-6846",20190619
D-0037-2023,Class II,Lack of Assurance of Sterility: FDA inspection found the recalled products were produced in a manner than cannot guarantee the sterility of the products purported to be sterile.,"MEDROXYPROGESTERONE ACETATE 300 MG/ML Suspension, 10 mL vial, Rx only, Vital Care Compounder, 115 S. 40th Ave., Hattiesburg, MS  39402",20221109
D-0452-2023,Class II,CGMP DEVIATIONS,"Unguentine Original Maximum Strength Pain Relieving/Antiseptic Ointment (Camphor 3.0%, Phenol 2.5%, Tannic Acid 2.2%, Oxide 6.6%), packaged in 1 oz. (28.3g) metal tubes, Distributed by: Oakhurst Company Levittown, NY 11756",20230315
D-0321-2024,Class III,Discoloration: discolored tablets (shades of blue) mixed in with the white inert remainder tablets.,"Nortrel (norethindrone and ethinyl estradiol tablets USP) 0.5/35, packaged in cartons, each carton contains 3 blister cards, each card contains 28 tablets, Rx only, TEVA PHARMACEUTICALS USA, INC., North Wales, PA 19454, NDC 0555-9008-67",20240221
D-790-2015,Class II,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,"Methyl Folate Calcium active pharmaceutical ingredient packaged in varying grams or kg in bags or drums, Attix Pharmaceuticals, 184 Front Street East, Unit 801, Toronto, Ontario M5A 4N3, Canada",20150429
D-0356-2025,Class II,Lack of Assurance of Sterility: Media fill with bacterial contamination,"Haloperidol Decanoate Injection 50mg/mL, 1mL Single-Dose Vial, Rx Only, Manufactured by: Somerset Therapeutics Limited, Kamataka India, Manufactured for: BluePoint Laboratories NDC 68001-580-41",20250416
D-0960-2020,Class II,Lack of Assurance of Sterility,"Polyoxyl Lauryl Ether (Polidocanol) Injection, LAURETH-9 (POLIDOCANOL) 5% INJECTABLE, For IV Use, 30 mL Multi-dose Vial, Rx only, Axia Pharmaceutical 1990 Westwood Blvd. Ste 135, Los Angeles, CA 90025; NDC 71283-060-3",20200311
D-1455-2019,Class II,CGMP Deviations: impurity for N-Nitroso-N-methyl-4-aminobutyric acid (NMBA) detected in the active pharmaceutical ingredient (API) used to manufacture finished products.,"LOSARTAN POTASSIUM 50 mg TABLET BULK  90 count bottles and 1000 count bottles, NDC 00591-3746-00",20190717
D-0165-2018,Class II,Labeling: Incorrect or Missing Lot and/or Exp Date: Beyond Use Date (BUD) exceed the BUD/EXP of at least one ingredient used to make final product.,"Benzocaine 20%, Lidocaine 6%, Tetracaine 4% Cream packaged in jars, Rx Only, KRS Global Biotechnology, 791 Park of Commerce Blvd, Boca Raton, FL 33487.",20180117
D-0347-2024,Class II,CGMP Deviations: Product was stored outside labeled storage temperature requirements. Product was exposed to controlled room temperature environment instead of remaining refrigerated.,"CABTREO (clindamycin phosphate, adapalene and benzoyl peroxide) Topical Gel 1.2%/0.15%/3.1%, Not for Oral, Ophthalmic or Intravaginal Use, Rx Only, Net Wt. 50g, Distributed by Bausch Health US, LLC Bridgewater, NJ 08807 USA, Manufactured by: Bausch Health Companies, Inc. Laval Quebec H7L 448, Canada, NDC 0187-0006-25.",20240228
D-0454-2018,Class II,Lack of sterility assurance.,"Glycopyrrolate in all strengths, all doses, and all packaging.",20180228
D-1027-2017,Class II,Lack of Assurance of Sterility; product has the potential to leak.,"PHENYLephrine 40 mg in 0.9% Sodium Chloride 250 mL, Rx only, SCA Pharmaceuticals 8821 Knoedl Ct Little Rock, AR 72205 --- NDC# 70004-0812-40",20170802
D-0435-2021,Class II,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,"xigduo XR (dapgliflozin/metformin HCl extended-release) tablets 10 mg/1000 mg 30 Tablets Rx only NDC 0310-6280-30 Manufactured for: AstraZeneca Pharmaceuticals LP Wilmington, DE 19850  Manufactured by: Bristol-Myers Squibb Manufacturing Company Humacao, Puerto Rico 00791",20210602
D-0394-2020,Class II,Lack of Assurance of Sterility,"CVS Health Redness Relief Lubricant Redness Reliever Eye Drops, Sterile, 1 fl. oz., (30 mL), Distributed by: CVS Pharmacy Inc., One CVS Drive, Woonsocket, RI 02895",20191127
D-0536-2022,Class II,CGMP Deviations,"APAP 500 mg tablet (Acetaminophen 500 mg) Bulk Container, ULTRAtab Laboratories, Inc., Highland, NY NDC 62959-210-00",20220216
D-662-2013,Class II,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes,"Progesterone 50 mg/ml, Clinical Specialties Compounding Pharmacy, 318 Baston Road, Augusta, GA 30907",20130710
D-0314-2021,Class III,Temperature Abuse,"Tremfya (guselkumab) Injection, 100 mg/mL, one single-dose prefilled syringe per carton, Rx only, Manufactured by: Janssen Biotech, Inc., Horsham, PA  19044; NDC 57894-640-01.",20210407
D-0580-2019,Class I,Microbial contamination,"Dr. King's Natural Medicine Homeopathic Hydration, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955024224, NDC 57955-0242-2",20190320
D-1235-2015,Class III,Tablets/Capsules Imprinted with Wrong ID: Some tablets incorrectly imprinted with an X on one side.,"Desmopressin Acetate Tablets, 0.1 mg Tablets, Rx Only, Packed in 30 Tablet (3 x 10) Cartons.  Packaged and Distributed by: American Health Packaging Columbus, Ohio 43217. NDC: 68084-606-21.",20150722
D-0796-2018,Class II,Lack of Processing Controls.,Zarxio 300 mcg/0.5 mL PFS NDC 14 days supply,20180516
D-1245-2019,Class III,Failed Impurities/Degradation Specifications,"Morphine Sulfate Extended-Release Tablets, 60 mg, 100-count bottles, Rx Only, Manufactured by: Novel Laboratories, Inc. Somerset, NJ 08873 Manufactured for: Lupin Pharmaceuticals, Inc. Baltimore, MD 21202  NDC 43386-542-01",20190501
D-1461-2022,Class II,CGMP Deviations: product held outside appropriate storage temperature conditions.,QP COUGH COLD TABLET 16 CT distributed to specific Family Dollar Stores 04/30/2022 through 06/10/2022.,20220831
D-509-2013,Class II,CGMP Deviations: Products are underdosed or have an incorrect dosage regime.,"AMBI 2CPM/15DM/5PEH, Antihistamine,  Nasal Decongestant,  Fruit Candy Flavor, 16 fl oz. bottle, OTC, Manufactured for: AMBI Pharmaceuticals, Brooksville, FL 34604, NDC 66870-0228-16.",20130612
D-1371-2015,Class III,Failed Impurities/Degradation Specifications: out-of-specification results for individual unknown and total impurity at the 12th month room temperature stability test station,"Phentermine Hydrochloride Capsules, USP, 15 mg, packaged in a) 100-count bottle (NDC 10702-0026-01; UPC 3 10702 02601 8) and b) 1000-count bottle (NDC 10702-0026-10; UPC 3 10702 02601 0); Rx only, Mfd. by KVK-TECH, Inc., Newtown, PA",20150902
D-0666-2018,Class II,Lack of Assurance Sterility: Firm is recalling various drug products due to a non-approved method of sterilization.,"Testosterone 40 mg pellet packaged in amber vial,   Rx only, Partell Specialty Pharmacy, 5835 S. Eastern Ave.   #101, Las Vegas, NV 89119 (702) 791-3800",20180425
D-1130-2019,Class II,Labeling: Incorrect or Missing Lot and/or Exp Date - the label contains an incorrect Exp Date.,"Bismuth Subsalicylate Oral Suspension 262mg/15mL, unit dose cups, OTC, Rpkg. By.: Lohxa Worcester, MA, NDC 70166-059-01",20190417
D-1222-2016,Class II,Lack of Assurance of Sterility,"M.I.C B-COMPLEX PREMIX W/HYDROXY B12  W/PRES. (BENZALKONIUM 0.01%)  HYDROXY B12 1MG; B1 0.833MG; B2 0.083MG; B3 0.833MG,  B5 0.083MG, B6 0.083MG, CYANO B12 1.66MCG,  METHIONINE 0.208MG, INOSITOL 0.416MG, CHOLINE CL 1.66MG/ML, 10ML Vials, MEDAUS PHARMACY",20160720
D-1786-2019,Class II,Lack of Assurance of Sterility,"INJECTAFER 720 MG in 100 ml NS IVPB; INJECTAFER 210 MG in 100 ml NS IVPB, Rx Only, Infusion Options, Inc. 5924 13the Ave, Brooklyn, NY 11219-4934, 718-283-7233",20190821
D-0448-2021,Class II,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,"Belbuca (buprenorphine hydrochloride) buccal film 300 mcg 60 pouches containing 1 buccal film each Rx only NDC 59385-023-60 Manufactured for: BioDelivery Sciences International, Inc. Raleigh, NC 27612.",20210602
D-0513-2018,Class II,CGMP Deviations: Lack of stability data and controls to support the manufacturers assigned retest or expiration date in firm's container/closure system.,"Nifedipine USP  for prescription compounding, packaged in a) 5g (NDC 58597-8025-2); b) 25g (NDC 58597-8025-4); c) 100g (NDC 58597-8025-6); d) 500g (NDC 58597-8025-7), RX only, packed by American Pharmaceutical Ingredients, LLC 6650 Highland Road, Waterford, MI 48327",20180228
D-871-2014,Class II,"Labeling: Label Mixup: FLUCONAZOLE, Tablet, 200 mg may have potentially been mislabeled as one of the following drugs:  VALSARTAN, Tablet, 80 mg, NDC 00078035834, Pedigree: AD65475_10, EXP: 5/28/2014;  FLUCONAZOLE, Tablet, 100 mg, NDC 68462010230, Pedigree: W003064, EXP: 6/12/2014.","FLUCONAZOLE, Tablet, 200 mg, Rx only, Distributed by: AidaPak Service, LLC, NDC 00172541360.",20140129
D-0375-2019,Class II,CGMP Deviations: Product complaints received indicating reconstituted suspension was observed to be thick.,"Cefdinir for Oral Suspension USP, 125mg/5mL, packaged in a) 60mL (NDC 68180-722-20), b)100mL (NDC 68180-722-10), Rx Only, Manufactured for: Lupin Pharmaceuticals Inc. Baltimore, MD 21202; Manufactured by: Lupin Limited Mandideep 462 046 INDIA",20190116
D-851-2013,Class II,Presence of Particulate; lot being recalled as a precaution due to the discovery of 2 particles found in a lot which preceded the recalled lot,"Ondansetron Injection, USP, 4mg/2mL, (2mg/ml), 2mL single-dose Fliptop Vial, Rx only, Sterile, NDC 0409-4755-03, Hospira, Inc, Lake Forest, IL 60045.",20130814
D-0831-2017,Class II,Labeling: Not Elsewhere Classified: Products may contain synthetic latex and/or natural latex.,"Succinylcholine Chloride all strengths, all dosage forms and all packaging, Rx  Only, Avella of Houston, Houston, TX 77054",20170531
D-241-2014,Class II,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.,"Mic Ultra-Sulfur Free 30ml, Main Street Compounding Pharmacy, 126 East Main Street, Newbern, TN 38059, 888-658-6200",20131211
D-0204-2016,Class II,Recalled products were made using an active ingredient that was recalled by a supplier due to penicillin cross contamination.,"BIEST TD 80/20 (Estradiol (E2) Trit (Yellow)/Estriol USP Micronized (E3) : PROG (Progesterone USP Micronized)  : TESTO (Testosterone USP) : DHEA  (Dehydroepiandrosterone Micronized) W/V (weight/volume) VERSABASE 2.5 : 17.5 : 1.25 :0.25MG/ML Transdermal cream, dispensed in 10 mL prefilled, amber syringes, Rx only,The Compounder, 340 Marshall Avenue Unit 100, Aurora, IL 60506.",20151118
D-0945-2023,Class II,cGMP deviations: due to shipment of rejected units.,"FentaNYL 500 mcg/250 mL - Bupivacaine HCl 0.1% in 0.9% Sodium Chloride 250mL Bag, Injection for Epidural Use (fentaNYL Concentration - 2 mcg/mL), Rx Only, Single Dose Container, SCA Pharmaceuticals, 755 Rainbow Rd, Windsor, CT 06095, NDC# 70004-0253-40",20230802
D-0509-2024,Class II,Lack of Assurance of Sterility: Deformed stoppers observed during filling operations for Cathflo Activase.,"Cathflo activase (ALTEPLASE), 2mg vials, Rx only, Genentech Inc., South San Francisco, CA 94080, NDC 50242-041-64",20240605
D-0298-2022,Class I,Marketed Without an Approved NDA/ANDA: Product labeled to contain methanol making it an unapproved new drug and contains methanol,"Klean Touch Hand Sanitizer (Ethyl Alcohol 70%) Ingredients Ethanol and Methanol, in 55-gallon drums, Aroma Release Technology, Inc., 7026 Discovery Drive, Chattanooga, TN 37416",20220105
D-0163-2023,Class II,"CGMP Deviations: Voluntary recall of all hand sanitizer distributed after March 31, 2022, due to FDA issued guidance to cease placing hand sanitizer product, produced under temporary approval, into the market after March 31, 2022.","Hand Sanitizer, HSANI500ML, (Isopropyl Alcohol), 75% v/v, packaged in a) 500 mL bottle and b) 6 x 500 mL bottles per case, Thermo Fisher Scientific: Janssen Pharmaceuticalaan 3a, 2440 Geel - Belgium, 1 Reagent Lane, Fair Lawn, NJ 07410.",20230125
D-653-2014,Class II,"Labeling:Label Mixup; VITAMIN B COMPLEX WITH C/FOLIC ACID, Tablet may be potentially mislabeled as    LEVOTHYROXINE SODIUM, Tablet, 88 mcg, NDC 00378180701, Pedigree: AD73652_10, EXP: 5/30/2014;  HYOSCYAMINE SULFATE ER, Tablet, 0.375 mg, NDC 43199001401, Pedigree: W003576, EXP: 6/24/2014;  MELATONIN, Tablet, 3 mg, NDC 51991001406, Pedigree: AD70655_14, EXP: 5/28/2014;  MELATONIN, Tablet, 3 mg, NDC","VITAMIN B COMPLEX WITH C/FOLIC ACID, Tablet, Over The Counter, Distributed by: AidaPak Service, LLC, NDC 60258016001",20140122
D-1613-2019,Class II,CGMP Deviations: Products were manufactured outside of the controls required by current Good Manufacturing Practices.,"Prostatin Capsules, Distributed by Herbal Doctor Remedies Alhambra, CA 91801-7081 USA, 1(800) 600-0808",20190814
D-0106-2022,Class II,Lack of assurance of sterility,"B COMPLEX INJ CMP-NO B12, NO LIDOCAINE  INJECTABLE, Rx only, Talon Compounding Pharmacy, 2950 Thousand Oaks Drive Ste 25, San Antonio, Texas 78247",20211117
D-0709-2019,Class I,Microbial contamination,"Dr. King's SafeCare Rx UlcerPlex, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955175025, NDC 57955-0188-2",20190320
D-0104-2022,Class II,Lack of assurance of sterility,"ALPROSTADIL 40MCG/ML INJ  40MCG/ML INJECTABLE, Rx only, Talon Compounding Pharmacy, 2950 Thousand Oaks Drive Ste 25, San Antonio, Texas 78247",20211117
D-1010-2019,Class III,Defective Container: Repetitive complaints received indicating pump not working.,"Testosterone Topical Solution, 30mg/1.5mL, 110mL bottles, Rx only, Manufactured for: Lupin Pharmaceuticals Inc. Baltimore, Maryland 21202 United States, Manufactured by: Lupin Limited Pithampur (M.P.) 454 775 INDIA, NDC 68180-943-11",20190327
D-1332-2022,Class II,Lack of Assurance of Sterility,"fentaNYL Citrate in 0.9% Sodium Chloride, 2.5 mg per 250 mL, (10 mcg per mL) IV bags, Rx Only, SterRx, 141 Idaho Avenue, Plattsburgh, NY  12903, NDC 70324-327-02.",20220817
D-0200-2015,Class II,Lack of Sterility Assurance: All lots of sterile products compounded by the pharmacy that are not expired due to concerns associated with quality control procedures that present a potential risk to sterility assurance that were observed during a recent FDA inspection.,"HYDROXYPROGESTERONE CAPROATE (SESAME OIL), 250mg/mL, injectable, 5 mL glass vial, RX, Creative Compounds, Wilsonville, OR 97070",20141112
D-1131-2023,Class II,Lack of Assurance of Sterility:Lack of validation data for sanitization cycles,"EPINEPHrine added to dextrose 5%, 4mg/250ml (16 mcg/mL), IV Bag, Rx Only, Central Admixture Pharmacy Services, Inc., 2200 South 43rd Avenue, Phoenix, AZ 85043, NDC: 72196-7018-1.",20230906
D-1224-2016,Class II,Lack of Assurance of Sterility,"M.I.C 25/50/50 W/PRES. (BENZYL ETOH 2%)  METHIONINE 25MG;INOSITOL 50MG;CHOLINE CHL 50/MG/ML, In a) 5ML Vials and b) 10ML Vials, MEDAUS PHARMACY",20160720
D-1700-2012,Class I,Marketed Without an Approved ANDA/NDA: presence of sibutramine,"Japan Weight Loss Blue Capsules, 9 g (300 mg), 30 count box, Green algae lipotropic (fat dissolving) agent, OTC, Distributed by Vitaminbestbuy.com, Brewerton, NY",20121003
D-0417-2024,Class II,Lack of Assurance of Sterility,"PHENYLephrine HCl 5000 mcg/50 mL in 0.9% Sodium Chloride Injection, (Concentration = 100 mcg/mL), 50 mL Syringe, Rx Only, SCA Pharmaceuticals, 755 Rainbow Rd. Windsor, CT 06095, NDC 70004-0810-22, Bar Code 70004081022.",20240403
D-0702-2021,Class II,Lack of sterility assurance,"Succinylcholine Chloride 100 mg/5 mL (20 mg/mL), 5 mL Syringes, Rx only, For IV Use only, BayCare Central Pharmacy, 7802 E. Telecom Parkway, Temple Terrace, FL 33837",20210811
D-1154-2017,Class II,Lack of Assurance of Sterility.,"L-Glutamine 100mg, 30 mL vials, Rx only, Bella Pharma 3101 W. Devon Ave., Chicago, IL 60659, 1 (877) BELLA.",20170920
D-0563-2018,Class I,"Marked Without An Approved NDA/ANDA: FDA analysis found these products to contain sildenafil, an FDA approved drug for the treatment of erectile dysfunction, making these products unapproved drugs for which safety and efficacy have not been establish and therefore, subject to recall.","Zhonghua Niubian tablets, 2000mg, 6-count bottle, labeling is in foreign language",20180207
D-282-2013,Class II,"Lack of Assurance of Sterility:All sterile products compounded, repackaged, and distributed by this  compounding pharmacy due to lack of sterility assurance and concerns associated with the quality control processes.","Trimix  Customs Injectable  Balanced Solutions, Compounding Pharmacy a division of Axium Healthcare Pharmacy, Inc., Lake Mary, FL 32746",20130501
D-1152-2017,Class II,Lack of Assurance of Sterility.,"Methylcobalamin 10mg, (10mg/ml), 30 mL vials, Rx only, Bella Pharma 3101 W. Devon Ave., Chicago, IL 60659, 1 (877) BELLA.",20170920
D-0337-2017,Class II,Lack of Assurance of Sterility,"Alprostadil 20 mcg/mL Injectable, a) 5 mL  and b) 10 mL vials, Compounded by Wells Pharmacy Network LLC, Ocala FL",20170111
D-1849-2019,Class II,Lack of assurance of sterility.,"Bevacizumab, 2.5 mg/0.1 mL, Norm-Ject Syringe Intravitreal Injection, Single use only, Rx only, Repackaged by AmEx Pharmacy 1515 Elizabeth St. Suite J Melbourne, FL 32901",20190918
D-1110-2019,Class II,Lack of Processing Controls: Insanitary conditions observed during compounding of sterile drugs during recent FDA Inspection.,"PAPAVERINE-PHENTOLAMINE-PGE1 17.44-0.64MG-5.8MCG/ML* INJECTABLE, 5 ml, Professional Compounding Pharmacy, 996 NW Circle Blvd. #105 Corvallis, OR 97330 .",20190417
D-1842-2019,Class III,Labeling; Incorrect or Missing Lot and/or Exp Date; some bottles labeled with lot number 05318054B instead of 05318034B,"Simvastatin Tablets, USP 40 mg. Rx Only 1000 Count Bottles Manufactured by: Aurolife Pharma LLC Dayton NJ 08810  Manufactured for: Aurobindo Pharma USA, Inc. Dayton, NJ 08810  NDC 65862-053-99",20190904
D-1746-2019,Class II,Lack of Assurance of Sterility,"Adcetris 96 MG/100 ML NS IVPB, Rx Only, Infusion Options, Inc. 5924 13the Ave, Brooklyn, NY 11219-4934, 718-283-7233",20190821
